"","species","lat","long"
"405","c4 ivfr",-76.5445551018244,38.8750910270049
"406","c4",-76.5445587570379,38.8752705107892
"407","c4 scam",-76.5445610922489,38.8754513186034
"408","c4",-76.5445666241804,38.8756312280921
"409","phau",-76.5445705750102,38.8758110503615
"410","phau",-76.5445737934004,38.8759911165972
"411","ivfr",-76.5445784218675,38.8761713534011
"412","ivfr phau",-76.5445828534865,38.8763515477493
"413","phau",-76.5445848103411,38.8765324416342
"414","phau",-76.5445902509321,38.8767113160509
"415","ivfr phau",-76.5445927186373,38.876891842733
"416","c4 ivfr",-76.5445976613524,38.8770727421546
"417","c4 scam",-76.5446021099593,38.8772526479038
"418","scam",-76.5443366059121,38.875632793017
"419","c4",-76.5443395974586,38.8758141237876
"420","ivfr",-76.5443436223657,38.8759936657475
"421","phau",-76.5443482174344,38.876173984104
"422","phau",-76.5443516372486,38.8763548586513
"423","phau",-76.5443553178813,38.8765349998646
"424","ivfr phau",-76.5443594546247,38.876715441408
"425","phau",-76.5443631900039,38.8768959783635
"426","ivfr",-76.5443680681176,38.8770755180158
"427","c4 scam",-76.544371396157,38.877254807841
"428","c4",-76.5443728816865,38.87742300265
"429","c4 scam",-76.5441054294099,38.8756378329719
"430","scam",-76.5441090956754,38.8758173436489
"431","ivfr",-76.5441123088074,38.8759972207473
"432","ivfr",-76.5441167376846,38.8761768114363
"433","ivfr",-76.5441197541704,38.8763571867212
"434","phau",-76.5441247489359,38.8765378872602
"435","phau",-76.5441295189313,38.8767183204409
"436","phau",-76.5441329111605,38.8768979428399
"437","c4 scam",-76.5441373421712,38.8770776235818
"438","c4",-76.5441391919386,38.8772578791075
"439","c4 scam",-76.544143559856,38.8774394349289
"440","spcy",-76.5441520705239,38.877799062336
"441","scam",-76.5438705871263,38.8754606945578
"442","c4",-76.5438735947789,38.8756390966153
"443","c4 scam",-76.5438791536423,38.8758208620221
"444","ivfr",-76.5438818179094,38.8760009716598
"445","c4 ivfr",-76.543886220385,38.8761814998389
"446","phau",-76.5438904012753,38.8763603098708
"447","phau",-76.5438942244718,38.8765412331653
"448","ivfr",-76.5438979631781,38.8767209140748
"449","scam",-76.5439015594888,38.876901470914
"450","spcy",-76.5439132655966,38.8776224000393
"451","spcy",-76.5439206261201,38.8778016365453
"452","c4",-76.5439255721887,38.8779816979281
"453","phau",-76.5439304464194,38.8782053096665
"454","scam",-76.5436402694776,38.8754633163342
"455","c4",-76.5436449412631,38.8756424713329
"456","scam",-76.5436478810824,38.8758230909606
"457","c4",-76.5436544434389,38.8760033112652
"458","ivfr",-76.5436552515483,38.8761839680769
"459","ivfr",-76.5436599572482,38.8763636182021
"460","scam",-76.5436644076754,38.8765437222392
"461","c4",-76.5436673382535,38.8767249727213
"462","scam",-76.5436708160328,38.876904873347
"463","c4",-76.5436829336873,38.8774446250091
"464","ivfr",-76.5436876610653,38.8776257976422
"465","c4 ivfr",-76.5436915962899,38.8778055209866
"466","c4",-76.5436949332513,38.8779852972898
"467","c4",-76.543698154025,38.8781650300697
"468","c4",-76.5437016740499,38.878322898579
"469","scam",-76.5434066999166,38.8752852500465
"470","c4",-76.5434101162519,38.8754660796561
"471","c4 scam",-76.5434126595425,38.8756465153131
"472","scam",-76.5434183026569,38.8758269009766
"473","scam",-76.5434215638482,38.876006948677
"474","c4",-76.5434253500908,38.8761872867892
"475","c4",-76.5434302225931,38.8763672140589
"476","c4",-76.5434330324903,38.8765471776005
"477","phau",-76.5434377122725,38.8767272515805
"478","spcy",-76.5434270526876,38.8769069696614
"479","ivfr",-76.5434526217244,38.8774472734177
"480","ivfr",-76.5434566296912,38.8776287889761
"481","phau",-76.5434611298118,38.8778085409078
"482","phau",-76.5434646251469,38.8779892702777
"483","phau",-76.5434689975966,38.878168978832
"484","phau",-76.5434725146452,38.8783379217192
"485","tyla",-76.5431794842432,38.8754690921453
"486","scam",-76.5431829270552,38.8756485067072
"487","scam",-76.5431877338114,38.875828624104
"488","c4 scam",-76.543191089872,38.8760098870255
"489","c4",-76.5431946989948,38.8761895246442
"490","ivfr",-76.5431997812748,38.8763695843177
"491","phau",-76.5432068161716,38.8767310335656
"492","phau",-76.5432098248033,38.8769106160237
"493","ivfr",-76.5432143773362,38.8770901600481
"494","phau",-76.5432180223785,38.8772703828646
"495","phau",-76.5432226763393,38.8774503490472
"496","phau",-76.5432259547868,38.8776312074575
"497","phau",-76.5432294054069,38.8778109642636
"498","phau",-76.5432346622313,38.8779916162963
"499","phau",-76.5432381859658,38.8781715523419
"500","phau",-76.5432410368278,38.8783512900268
"501","phau",-76.5429688404588,38.8763723121456
"502","ivfr phau",-76.5429716850715,38.8765534016037
"503","phau",-76.5429763414502,38.8767329803231
"504","phau",-76.5429912651584,38.876913982224
"505","phau",-76.5430173872181,38.8770925473657
"506","phau",-76.5430027015966,38.8779948713263
"507","c4",-76.5430070146485,38.8781750852985
"508","phau",-76.5430110363113,38.8783551499319
"509","tyla",-76.5430157993405,38.8785343126883
"510","phau",-76.5427335368287,38.8761962138053
"511","ivfr",-76.5427384384596,38.8763759695252
"512","ivfr phau",-76.5427417914002,38.8765555384537
"513","phau",-76.5427803598232,38.8783570719736
"514","ivfr phau",-76.5427857579835,38.8785379113788
"515","phau",-76.5425041979986,38.8761989015203
"516","ivfr",-76.5425070223548,38.8763785765677
"517","phau",-76.5425152309366,38.8765641546679
"518","phau",-76.5425542621861,38.8785408890622
"519","phau",-76.5422727429686,38.8762018149773
"520","phau",-76.5422760515046,38.876382051322
"521","phau",-76.5420459098485,38.876384424355
"522","phau",-76.54205004751,38.8765657130344
"523","phau",-76.5420874458095,38.8762000138944
